지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
257,양산시,2022-03-18,7.5,13.1,4.7,81.6
257,양산시,2022-03-19,5.8,5.8,2,84
257,양산시,2022-03-20,7.1,,1.6,74.8
257,양산시,2022-03-21,8.9,,1.6,60.9
257,양산시,2022-03-22,9.6,,2.3,57.6
257,양산시,2022-03-23,8.2,,1.4,64.9
257,양산시,2022-03-24,10.1,,1.9,60.3
257,양산시,2022-03-25,12.8,1.2,1.8,76.1
257,양산시,2022-03-26,16.1,56.7,3.4,
257,양산시,2022-03-27,14.1,,2.8,51.6
257,양산시,2022-03-28,9.9,,2.6,44.4
257,양산시,2022-03-29,10.3,,1.6,63.1
257,양산시,2022-03-30,13.1,,2.3,83
257,양산시,2022-03-31,11.5,0,3.3,71.8
257,양산시,2022-04-01,9.8,,2.8,54.8
257,양산시,2022-04-02,9.4,,1.7,62.3
257,양산시,2022-04-03,10.9,,1.6,64.5
257,양산시,2022-04-04,11.9,,1.5,62.8
257,양산시,2022-04-05,13,,2.6,51.8
257,양산시,2022-04-06,14.9,,1.8,44.5
257,양산시,2022-04-07,15.1,0,2,47.8
257,양산시,2022-04-08,14.1,,2.2,54.4
257,양산시,2022-04-09,16.2,,3.5,59.1
257,양산시,2022-04-10,17.3,,3.3,68.3
257,양산시,2022-04-11,16.9,0.3,2,85.8
257,양산시,2022-04-12,19,,2.7,85.4
257,양산시,2022-04-13,13,,3.6,80.8
257,양산시,2022-04-14,11.1,,5.2,76.5
257,양산시,2022-04-15,12.9,,3.9,58.6
257,양산시,2022-04-16,12.7,,2.2,54.3
257,양산시,2022-04-17,13.8,,2.4,51.4
257,양산시,2022-04-18,15.8,,1.5,45.6
257,양산시,2022-04-19,15.9,,1.5,46.6
257,양산시,2022-04-20,16.3,,2.3,46.9
257,양산시,2022-04-21,13.1,4.4,1.1,79.8
257,양산시,2022-04-22,16.8,,3.5,74.6
257,양산시,2022-04-23,17.2,,1.9,68
257,양산시,2022-04-24,20.1,,1.9,68.9
257,양산시,2022-04-25,20.7,3.1,1.6,72.6
257,양산시,2022-04-26,18.6,63.8,2.2,95.8
257,양산시,2022-04-27,17.1,,2.6,65.3
257,양산시,2022-04-28,16.9,,2.9,54.3
257,양산시,2022-04-29,11.5,21.1,3.9,77.1
257,양산시,2022-04-30,13.9,,1.5,66
257,양산시,2022-05-01,14.8,,1.6,51.3
257,양산시,2022-05-02,13.6,9.5,2.4,56.6
257,양산시,2022-05-03,13.7,,2.5,65.8
257,양산시,2022-05-04,16.1,,2.9,60.1
257,양산시,2022-05-05,17.2,,2.6,66.8
257,양산시,2022-05-06,19.2,,1.8,67.4
257,양산시,2022-05-07,19.6,,2.5,63.1
257,양산시,2022-05-08,16.8,,3.1,53.9
257,양산시,2022-05-09,17.1,,2.9,46
257,양산시,2022-05-10,17.6,,2.9,48.3
257,양산시,2022-05-11,20,0,1.4,61
257,양산시,2022-05-12,20.6,,2,67.8
257,양산시,2022-05-13,17.9,0.3,2.8,75.6
257,양산시,2022-05-14,19.4,0,2.1,46.8
257,양산시,2022-05-15,17.4,,2,43
257,양산시,2022-05-16,18,,2.1,45.9
257,양산시,2022-05-17,19.1,,2.2,50.9
257,양산시,2022-05-18,20.5,,2.5,49.6
257,양산시,2022-05-19,20,,2.3,48.8
257,양산시,2022-05-20,20,,2,57.8
257,양산시,2022-05-21,21.6,,1.9,60.5
257,양산시,2022-05-22,23.8,,2.7,51.8
257,양산시,2022-05-23,22.1,,1.8,59.8
257,양산시,2022-05-24,24,,1.6,57.5
257,양산시,2022-05-25,23.2,,2.5,58.9
257,양산시,2022-05-26,23,,2,53
257,양산시,2022-05-27,23.4,,3,41.6
257,양산시,2022-05-28,23.2,,2.4,43.5
257,양산시,2022-05-29,23.1,0,2.2,45.6
257,양산시,2022-05-30,23.5,0,1.7,52.6
257,양산시,2022-05-31,23.3,,2,42.4
257,양산시,2022-06-01,23.5,,2,45.1
257,양산시,2022-06-02,22.4,,2.7,62.9
257,양산시,2022-06-03,23.7,,2.4,59.1
257,양산시,2022-06-04,22.2,,3,59.8
257,양산시,2022-06-05,18.6,42.5,3.3,87.3
257,양산시,2022-06-06,19.4,4,2.8,77.5
257,양산시,2022-06-07,17.8,1.6,2.5,71.8
257,양산시,2022-06-08,18.4,0,2.5,71.8
257,양산시,2022-06-09,20.7,,1.9,65.6
257,양산시,2022-06-10,21,,1.4,68.5
257,양산시,2022-06-11,21.8,,2.5,68
257,양산시,2022-06-12,21.6,,2.8,66.1
257,양산시,2022-06-13,20.4,0.1,3.2,69.5
257,양산시,2022-06-14,17.4,8.3,3.6,89.6
257,양산시,2022-06-15,20.7,1,2.5,81.9
257,양산시,2022-06-16,23.7,,2.8,70.6
257,양산시,2022-06-17,23.8,,2.6,75.8
257,양산시,2022-06-18,25.7,,2.5,73.6
257,양산시,2022-06-19,25.2,,2.6,77.9
257,양산시,2022-06-20,26,,1.9,75.8
257,양산시,2022-06-21,26.6,,1.7,72.4
257,양산시,2022-06-22,26.6,,2.8,76.1
257,양산시,2022-06-23,25.2,0,3.4,86.6
257,양산시,2022-06-24,25,24.8,4.4,88.5
257,양산시,2022-06-25,25.2,,3.4,84.4
257,양산시,2022-06-26,25.5,0.1,3.2,89.8
257,양산시,2022-06-27,25,14.4,4,97.9
257,양산시,2022-06-28,25.5,6,5.2,94.4
257,양산시,2022-06-29,25.3,10.1,4.8,96.1
257,양산시,2022-06-30,26.9,0.3,3.3,85.4
257,양산시,2022-07-01,27.7,,1.9,76.5
257,양산시,2022-07-02,28.7,,1.3,65.3
257,양산시,2022-07-03,29.3,,1.8,68.5
257,양산시,2022-07-04,29,0,1.5,70.3
257,양산시,2022-07-05,28.1,0,1.5,76.1
257,양산시,2022-07-06,28.8,,1.5,77.3
257,양산시,2022-07-07,29.2,,2.4,81
257,양산시,2022-07-08,27.6,1.8,2.7,88.6
257,양산시,2022-07-09,28.4,,1.5,76.1
257,양산시,2022-07-10,27.5,,1.4,77.5
257,양산시,2022-07-11,25.3,14.6,0.5,92.8
257,양산시,2022-07-12,26,,2.5,74.1
257,양산시,2022-07-13,25.3,0,1.1,78.8
257,양산시,2022-07-14,28.7,,2,78.4
257,양산시,2022-07-15,28.3,,1.6,71
257,양산시,2022-07-16,28.1,0,1.9,68.6
257,양산시,2022-07-17,27.9,,1.6,69.5
257,양산시,2022-07-18,23.2,64.1,1.8,95.3
257,양산시,2022-07-19,26.1,0.4,1.6,87.6
257,양산시,2022-07-20,28,,1.8,74.8
257,양산시,2022-07-21,27.3,10.4,2.6,76.8
257,양산시,2022-07-22,26,,1.4,71.9
257,양산시,2022-07-23,25.2,0.7,0.8,82
257,양산시,2022-07-24,26.5,32.7,2,86.5
257,양산시,2022-07-25,27,,1.5,83
257,양산시,2022-07-26,26.7,,1.8,78.4
257,양산시,2022-07-27,26.6,,2.3,74.4
257,양산시,2022-07-28,27.4,0,2.6,80.3
257,양산시,2022-07-29,29.8,,2.8,71.3
257,양산시,2022-07-30,28.7,0,2.6,74.1
257,양산시,2022-07-31,28.4,3.3,2.1,82.5
257,양산시,2022-08-01,29.5,0,3.1,74.1
257,양산시,2022-08-02,28.1,5.4,4.1,90.8
257,양산시,2022-08-03,29,8.4,3.1,83.6
257,양산시,2022-08-04,30,2.9,1.7,79.4
257,양산시,2022-08-05,30,,2,78.8
257,양산시,2022-08-06,30.5,,2,78.1
257,양산시,2022-08-07,30.2,,2.8,81
257,양산시,2022-08-08,30,,3.5,73
257,양산시,2022-08-09,29.6,,3.4,74.3
257,양산시,2022-08-10,28.9,0,3,78.6
257,양산시,2022-08-11,28,1.3,2.6,85.9
257,양산시,2022-08-12,30.2,,1.8,80.4
257,양산시,2022-08-13,28.3,4.8,1.8,87.6
257,양산시,2022-08-14,29.6,0,2.3,79.6
257,양산시,2022-08-15,30.5,,3.9,72.8
257,양산시,2022-08-16,27,21.6,2.5,89.4
257,양산시,2022-08-17,24.9,14.8,1.2,92.3
257,양산시,2022-08-18,25.9,,1.4,79.3
257,양산시,2022-08-19,27.6,,2.6,80.8
257,양산시,2022-08-20,26.9,19.9,2,92.3
257,양산시,2022-08-21,27.4,,2.8,65.3
257,양산시,2022-08-22,25.9,,1.7,67.4
257,양산시,2022-08-23,27.2,0.6,1.7,77
257,양산시,2022-08-24,23,7.9,3.4,83.4
257,양산시,2022-08-25,25.1,,1.6,75.8
257,양산시,2022-08-26,25.7,,1.5,64.4
257,양산시,2022-08-27,24.2,,1.6,67
257,양산시,2022-08-28,23.3,,2.6,59.4
257,양산시,2022-08-29,24.6,,2.3,70.1
257,양산시,2022-08-30,23.5,17.4,2.6,85.3
257,양산시,2022-08-31,22.6,30.9,1.8,90.5
257,양산시,2022-09-01,22.8,1,2.1,81.1
257,양산시,2022-09-02,21.8,15.6,2.9,93.3
257,양산시,2022-09-03,22.9,8.5,3.3,93
257,양산시,2022-09-04,26,1.4,1.9,87.4
257,양산시,2022-09-05,26.9,50.4,2,88.6
257,양산시,2022-09-06,24.8,153.9,3.3,75
257,양산시,2022-09-07,22.9,,1.4,69.1
257,양산시,2022-09-08,23,,2,64.9
257,양산시,2022-09-09,24,,2.6,69.4
257,양산시,2022-09-10,23.4,,2.8,71.5
257,양산시,2022-09-11,24.6,,2.3,75.1
257,양산시,2022-09-12,24.9,,2.5,77.3
257,양산시,2022-09-13,25.4,,3.8,67.8
257,양산시,2022-09-14,25.4,,3.9,66.9
257,양산시,2022-09-15,25.3,,3.5,68
257,양산시,2022-09-16,25.6,,3.2,79.5
257,양산시,2022-09-17,26.6,0,2.1,77.6
257,양산시,2022-09-18,26.8,14.5,4.1,76
257,양산시,2022-09-19,24.5,16.7,4.3,74.9
257,양산시,2022-09-20,20.3,,2.7,57.8
257,양산시,2022-09-21,18.9,,2.6,61.5
257,양산시,2022-09-22,20.7,,1.9,70
257,양산시,2022-09-23,22.7,,1.6,62.9
257,양산시,2022-09-24,20.2,,1.5,52.6
257,양산시,2022-09-25,19.9,,1.2,71.1
257,양산시,2022-09-26,20,0,0.9,77.4
257,양산시,2022-09-27,21.8,0,1.7,74.4
257,양산시,2022-09-28,21.5,,1.1,79.9
257,양산시,2022-09-29,21.3,0,1,76.5
257,양산시,2022-09-30,21.6,,1,77.8
257,양산시,2022-10-01,22.1,,1,70.8
257,양산시,2022-10-02,23,,1.1,69
257,양산시,2022-10-03,24.9,1,2.7,86.5
257,양산시,2022-10-04,22.1,20.3,3.5,88.9
257,양산시,2022-10-05,18.3,0,3.1,74.9
257,양산시,2022-10-06,18.3,1.1,1.6,79.3
257,양산시,2022-10-07,18.1,0,2.6,67.1
257,양산시,2022-10-08,17.6,,3.1,59.5
257,양산시,2022-10-09,17.3,0.3,2.3,74
257,양산시,2022-10-10,15.6,0,3.5,49.3
257,양산시,2022-10-11,14.6,,1.6,63.4
257,양산시,2022-10-12,15.9,,1.8,69.4
257,양산시,2022-10-13,19.1,,2.8,59.3
257,양산시,2022-10-14,18.4,,1.7,71.4
257,양산시,2022-10-15,18.7,,1.7,73.9
257,양산시,2022-10-16,19.2,,0.6,76.3
257,양산시,2022-10-17,17.6,,2.2,51.5
257,양산시,2022-10-18,12.3,,1.4,47
257,양산시,2022-10-19,11.9,,1.2,50.3
257,양산시,2022-10-20,12.7,,0.9,60.3
257,양산시,2022-10-21,15.7,0,1,64.5
257,양산시,2022-10-22,18.1,0,1.1,61.4
257,양산시,2022-10-23,16,,1,68.3
257,양산시,2022-10-24,13.5,,1.6,54.5
257,양산시,2022-10-25,13.7,,2.8,52.8
257,양산시,2022-10-26,13.8,,1.3,70.1
257,양산시,2022-10-27,15.9,,0.8,66.6
257,양산시,2022-10-28,16,,1.7,70.4
257,양산시,2022-10-29,15.8,,2.5,72.3
257,양산시,2022-10-30,14.8,0.1,1.9,76.8
257,양산시,2022-10-31,14.9,,2.1,67.9
257,양산시,2022-11-01,14.5,,0.7,72.1
257,양산시,2022-11-02,13.8,,0.7,74.1
257,양산시,2022-11-03,13.6,,1.1,65
257,양산시,2022-11-04,11.2,,1.8,36.6
257,양산시,2022-11-05,9,,1.1,36.9
257,양산시,2022-11-06,9.3,,0.6,55
257,양산시,2022-11-07,10.4,,0.7,65.8
257,양산시,2022-11-08,11.7,,0.8,65.9
257,양산시,2022-11-09,11.8,,1.1,69.1
257,양산시,2022-11-10,13.7,,1.2,65.5
257,양산시,2022-11-11,16,,1.4,72.4
257,양산시,2022-11-12,17.8,7.5,1.3,84.1
257,양산시,2022-11-13,18.5,26.2,3.2,72.6
257,양산시,2022-11-14,13,,1.8,65.9
257,양산시,2022-11-15,10.6,,1.6,56.5
257,양산시,2022-11-16,10.6,,1.2,67.6
257,양산시,2022-11-17,10.6,,0.6,60.8
257,양산시,2022-11-18,12.2,,1,64
257,양산시,2022-11-19,15.5,0,2.6,66
257,양산시,2022-11-20,15.1,0,1.4,71.9
257,양산시,2022-11-21,12.8,,0.5,80.3
257,양산시,2022-11-22,14.4,1.5,1.3,78.4
257,양산시,2022-11-23,14.1,0.3,1.5,76.1
257,양산시,2022-11-24,10.6,,0.7,65.8
257,양산시,2022-11-25,11.9,,1.6,72.3
257,양산시,2022-11-26,12.5,,1.6,62
257,양산시,2022-11-27,10.2,,0.8,47.1
257,양산시,2022-11-28,16.7,3,1.7,74
257,양산시,2022-11-29,16.1,15.4,2.1,69.4
257,양산시,2022-11-30,3.9,,2.9,23.6
257,양산시,2022-12-01,2.2,,2.4,28.3
257,양산시,2022-12-02,2.4,,1.6,44
257,양산시,2022-12-03,4.7,,1.4,63
257,양산시,2022-12-04,,,1.7,
257,양산시,2022-12-05,4,,1.7,26
257,양산시,2022-12-06,4.1,,2,46.1
257,양산시,2022-12-07,5.5,,1.5,58.6
257,양산시,2022-12-08,5.1,,0.8,63
257,양산시,2022-12-09,5.9,,0.8,62.4
257,양산시,2022-12-10,7.1,0,0.8,63.5
257,양산시,2022-12-11,7.9,,1.7,43.6
257,양산시,2022-12-12,7.1,1.3,1.3,71.4
257,양산시,2022-12-13,6.6,0,3,52.3
257,양산시,2022-12-14,-0.1,0,2.8,44.1
257,양산시,2022-12-15,0.7,,1.5,55.5
257,양산시,2022-12-16,3.8,,1.5,34.3
257,양산시,2022-12-17,1.3,,2.7,35.8
257,양산시,2022-12-18,-3,,2.4,38.1
257,양산시,2022-12-19,-2.2,,0.8,52.5
257,양산시,2022-12-20,1.1,,1.3,56.8
257,양산시,2022-12-21,3.3,10,1.1,87.5
257,양산시,2022-12-22,0.4,,3.1,55.9
257,양산시,2022-12-23,-2.8,,4.2,40.1
257,양산시,2022-12-24,-1.2,,1.6,46.9
257,양산시,2022-12-25,1.1,,2.2,44.9
257,양산시,2022-12-26,1.3,,1.5,48.1
257,양산시,2022-12-27,1.6,,1,47
257,양산시,2022-12-28,2.2,,1.5,52.5
257,양산시,2022-12-29,1.7,,1.6,46.9
257,양산시,2022-12-30,1.3,,1.2,60.3
257,양산시,2022-12-31,2.6,,1.7,51.3
257,양산시,2023-01-01,2.9,,1.5,53
257,양산시,2023-01-02,3.5,,2.6,20
257,양산시,2023-01-03,2.3,,2.1,27
257,양산시,2023-01-04,2.5,,1.9,42
257,양산시,2023-01-05,2.5,,1.4,58.3
257,양산시,2023-01-06,2.9,,1.2,58.8
257,양산시,2023-01-07,4.9,0,1.9,53.4
257,양산시,2023-01-08,3.5,,1.7,54.4
257,양산시,2023-01-09,6.3,,1.5,58.8
257,양산시,2023-01-10,5,,0.9,69
257,양산시,2023-01-11,5.3,,1.3,67.1
257,양산시,2023-01-12,8.2,0.7,1,76.1
257,양산시,2023-01-13,14.4,70.7,0.8,99.9
257,양산시,2023-01-14,10.8,0.1,3.6,89.1
257,양산시,2023-01-15,6.8,1,2,84.6
257,양산시,2023-01-16,1.9,,2,50.8
257,양산시,2023-01-17,1.5,,1.7,42.8
257,양산시,2023-01-18,2.6,,1.6,58
257,양산시,2023-01-19,1.9,,1.7,62.1
257,양산시,2023-01-20,2.6,,2.9,42.9
257,양산시,2023-01-21,-0.5,,1.2,35.3
257,양산시,2023-01-22,2.5,,1,49.9
257,양산시,2023-01-23,5,,0.6,55.6
257,양산시,2023-01-24,-4.8,,5,29.6
257,양산시,2023-01-25,-5.6,,2.2,26.8
257,양산시,2023-01-26,-1.2,,1,44.8
257,양산시,2023-01-27,-0.1,,3.4,30.9
257,양산시,2023-01-28,-1.8,,2.8,39.3
257,양산시,2023-01-29,1,,1.3,54.1
257,양산시,2023-01-30,2.2,,1.8,36.5
257,양산시,2023-01-31,2.2,,1.6,50.1
257,양산시,2023-02-01,7.2,,2.9,46.5
257,양산시,2023-02-02,3.6,,1,45.6
257,양산시,2023-02-03,3.9,,0.8,47.1
257,양산시,2023-02-04,2.8,,1.6,35.4
257,양산시,2023-02-05,2.8,,1.3,49.4
257,양산시,2023-02-06,4.7,,0.4,45
257,양산시,2023-02-07,7.4,,1.6,63.4
257,양산시,2023-02-08,6.7,,1.3,55.3
257,양산시,2023-02-09,6.6,3.4,2.2,57
257,양산시,2023-02-10,5.8,24.9,2.2,83.4
257,양산시,2023-02-11,5.7,,0.3,76.9
257,양산시,2023-02-12,6.9,0.3,2,74.6
257,양산시,2023-02-13,7.8,0.4,3.8,73
257,양산시,2023-02-14,6.3,,1.9,64.4
257,양산시,2023-02-15,4.4,0,3.4,68.6
257,양산시,2023-02-16,5.7,,1.4,73
257,양산시,2023-02-17,5.8,0,0.5,72
257,양산시,2023-02-18,8.3,2.6,1,96.3
257,양산시,2023-02-19,10,1,2.5,58.9
257,양산시,2023-02-20,5.1,,3.2,28.3
257,양산시,2023-02-21,3,,2,42.3
257,양산시,2023-02-22,5.5,,1.4,57.9
257,양산시,2023-02-23,8.9,0.1,1.4,59.5
257,양산시,2023-02-24,9.4,,2,37.3
257,양산시,2023-02-25,5.2,,1.4,47.8
257,양산시,2023-02-26,4.7,,1,45.5
257,양산시,2023-02-27,5.9,,1.4,57.8
257,양산시,2023-02-28,8.5,,2.9,58.6
257,양산시,2023-03-01,9.4,0.6,1.6,69
257,양산시,2023-03-02,5.6,,1.9,29.3
257,양산시,2023-03-03,7.2,,1.4,34.5
257,양산시,2023-03-04,9.2,,1.6,52
257,양산시,2023-03-05,8.8,,0.9,68.4
257,양산시,2023-03-06,9.9,,1.6,64.4
257,양산시,2023-03-07,11.3,,2,64
257,양산시,2023-03-08,12.8,,2.6,60.9
257,양산시,2023-03-09,14.3,,2.2,79.8
257,양산시,2023-03-10,14.5,,1.3,70.3
257,양산시,2023-03-11,15,,2.3,67.8
257,양산시,2023-03-12,11.8,17.6,2.8,78.8
257,양산시,2023-03-13,6.4,,2.4,34.5
257,양산시,2023-03-14,9.4,,2.4,58.3
257,양산시,2023-03-15,12.7,0,3.2,79
257,양산시,2023-03-16,13,,1.9,55.9
257,양산시,2023-03-17,10.9,,3,57.4
257,양산시,2023-03-18,11.4,,1.3,60.9
257,양산시,2023-03-19,10.8,,1.2,57.4
257,양산시,2023-03-20,11.6,,1.7,59
257,양산시,2023-03-21,15.6,,1.9,53.5
257,양산시,2023-03-22,17.9,3.9,1.8,76.5
257,양산시,2023-03-23,15.9,43.1,2.8,93.9
257,양산시,2023-03-24,13.5,1.5,3,76.3
257,양산시,2023-03-25,12.1,,2.8,67.5
257,양산시,2023-03-26,12.4,0,1.1,72.5
257,양산시,2023-03-27,11.5,,1,47.3
257,양산시,2023-03-28,11.5,,1.4,56.1
257,양산시,2023-03-29,12.6,,1.2,62.5
257,양산시,2023-03-30,14.1,,1.3,56
257,양산시,2023-03-31,17.2,,1.8,43.3
257,양산시,2023-04-01,16.2,,2,53
257,양산시,2023-04-02,15.9,,3.8,52
257,양산시,2023-04-03,15.5,,3.2,52.1
257,양산시,2023-04-04,16.6,0.2,2.4,64
257,양산시,2023-04-05,16.4,42.6,3.7,90
257,양산시,2023-04-06,14.4,3.2,3.3,76.3
257,양산시,2023-04-07,14.4,4.5,2.4,51.4
257,양산시,2023-04-08,11.8,,2.7,29.5
257,양산시,2023-04-09,12.9,,2.2,41.3
257,양산시,2023-04-10,14.1,,3.1,56.3
257,양산시,2023-04-11,18,0,4.2,71.1
257,양산시,2023-04-12,15.5,,2.4,31.4
257,양산시,2023-04-13,15.3,,2.1,33.1
257,양산시,2023-04-14,14,2.4,1,79.4
257,양산시,2023-04-15,13.3,3.4,1.4,89.4
257,양산시,2023-04-16,10.9,5.3,0.8,85.3
257,양산시,2023-04-17,12.9,,2,66.8
257,양산시,2023-04-18,17,0.1,1.9,85
257,양산시,2023-04-19,18.4,0,1.2,84
257,양산시,2023-04-20,21,,1.8,72.6
257,양산시,2023-04-21,17.5,,3.6,52.5
257,양산시,2023-04-22,15,,3.4,45.3
257,양산시,2023-04-23,14.4,,2.9,52.3
257,양산시,2023-04-24,14,,2.9,57.8
257,양산시,2023-04-25,11.1,9.8,2.1,87.9
257,양산시,2023-04-26,14.3,,2.3,61.4
257,양산시,2023-04-27,14.5,,1.8,67.4
257,양산시,2023-04-28,16.9,,2.9,73.8
257,양산시,2023-04-29,16.9,15.4,2.9,93
257,양산시,2023-04-30,15.9,,2.4,58.4
257,양산시,2023-05-01,16.4,,2.1,53.6
257,양산시,2023-05-02,16.2,,1.5,56
257,양산시,2023-05-03,17.5,,2,66.3
257,양산시,2023-05-04,18.8,1.7,2.3,79.9
257,양산시,2023-05-05,18.7,81.6,3.4,97.1
257,양산시,2023-05-06,15.1,85.1,4.2,92.9
257,양산시,2023-05-07,13.1,2.2,3.9,75.6
257,양산시,2023-05-08,14.6,,2.6,54.9
257,양산시,2023-05-09,16.3,,1.5,61.8
257,양산시,2023-05-10,18.6,,1.5,62.9
257,양산시,2023-05-11,19,,3.1,54.6
257,양산시,2023-05-12,18,0.1,2,61.6
257,양산시,2023-05-13,15.4,8.3,1,92.8
257,양산시,2023-05-14,17.9,,1.5,77.3
257,양산시,2023-05-15,19.5,,2,73.6
257,양산시,2023-05-16,20.9,,2.3,76.6
257,양산시,2023-05-17,21.9,,2.7,76.3
257,양산시,2023-05-18,18.9,24.3,1.7,94.1
257,양산시,2023-05-19,18.6,2.5,3,83.4
257,양산시,2023-05-20,19.9,,2.1,72.9
257,양산시,2023-05-21,21.9,,2.1,74.8
257,양산시,2023-05-22,17.8,0.1,1.1,73.6
257,양산시,2023-05-23,18.4,0,1.7,64.9
257,양산시,2023-05-24,19.1,,1.3,66.6
257,양산시,2023-05-25,19.8,,1.7,57.4
257,양산시,2023-05-26,20.8,0.1,1.8,79.8
257,양산시,2023-05-27,22.8,,2.1,77.1
257,양산시,2023-05-28,21.5,4,2.7,95
257,양산시,2023-05-29,21.2,84.4,2.7,99.4
257,양산시,2023-05-30,20.7,0,2.2,83.5
257,양산시,2023-05-31,21.6,,2.6,55.9
257,양산시,2023-06-01,17.3,5.3,0.6,87.4
257,양산시,2023-06-02,24.5,1.4,1.7,70.1
257,양산시,2023-06-03,22.1,,1.9,67.3
257,양산시,2023-06-04,22.3,,1.6,61.4
257,양산시,2023-06-05,22.4,,1.6,62.4
257,양산시,2023-06-06,21.8,,2.2,71.4
257,양산시,2023-06-07,22.8,,2.2,71.9
257,양산시,2023-06-08,22.7,,2,71.5
257,양산시,2023-06-09,22.8,,2.2,78
257,양산시,2023-06-10,24,,2,74.3
257,양산시,2023-06-11,23.4,0.4,1.7,82.9
257,양산시,2023-06-12,23.8,0,1.2,82.8
257,양산시,2023-06-13,24.2,,1.7,77.5
257,양산시,2023-06-14,23,1.5,1.5,78
257,양산시,2023-06-15,21.8,,1.3,78.3
257,양산시,2023-06-16,24.8,,2,70.1
257,양산시,2023-06-17,25.4,,2.6,65.6
257,양산시,2023-06-18,26.4,,1.7,63.5
257,양산시,2023-06-19,26.1,,2.5,62.8
257,양산시,2023-06-20,24.4,0.6,2.6,64.9
